year,month,data_mean_global,data_mean_nh,value
1974,5,332.266216592525,334.671739244457,329.86069394059297
1974,6,331.357854097651,332.774427640155,329.94128055514705
1974,7,329.67589138119,329.348690330492,330.00309243188804
1974,8,328.184944041674,326.47865681787005,329.891231265479
1974,9,328.24281917876704,326.769077538132,329.716560819401
1974,10,329.403901374106,329.117444860482,329.690357887729
1974,11,330.50330912097,331.21916679559104,329.78745144634996
1974,12,331.185570429026,332.58167283195803,329.789468026093
1975,1,331.665993820041,333.44182955200404,329.890158088078
1975,2,332.013094553087,334.068954492758,329.957234613416
1975,3,332.293974063158,334.633426655162,329.954521471154
1975,4,332.463491036772,335.040328428303,329.886653645242
1975,5,332.273060183205,334.673809269505,329.872311096905
1975,6,331.37242928168996,332.786190079353,329.958668484028
1975,7,329.705867651759,329.379304448875,330.032430854643
1975,8,328.236691982899,326.53504021917,329.938343746627
1975,9,328.323746124959,326.85843871798,329.789053531938
1975,10,329.520200237164,329.245728601702,329.79467187262696
1975,11,330.66174999774,331.392986476093,329.93051351938703
1975,12,331.393125041971,332.80865637268,329.977593711262
1976,1,331.925692931382,333.722588637066,330.128797225698
1976,2,332.335997910137,334.417684440722,330.254311379553
1976,3,332.687044653859,335.057782125508,330.31630718221
1976,4,332.933214626693,335.547942090649,330.31848716273703
1976,5,332.827430929967,335.274974017154,330.37988784278
1976,6,332.018545891254,333.49000595331796,330.54708582919
1976,7,330.445715075967,330.181362890347,330.710067261588
1976,8,329.071655863678,327.42815872972,330.715152997636
1976,9,329.259991922138,327.84832409982005,330.671659744455
1976,10,330.56225722847,330.336337777679,330.78817667926
1976,11,331.813867670209,332.588207432493,331.039527907925
1976,12,332.65799704935,334.112696404481,331.203297694218
1977,1,333.315745341913,335.160547848572,331.470942835254
1977,2,333.835355682016,335.96337775436797,331.707333609664
1977,3,334.289686796384,336.704482109889,331.874891482878
1977,4,334.631389911005,337.286726123177,331.976053698833
1977,5,334.609629876077,337.091984797581,332.12727495457403
1977,6,333.871955940696,335.370386853899,332.373525027494
1977,7,332.360529007933,332.118421705468,332.602636310398
1977,8,331.036460913665,329.415818774339,332.657103052991
1977,9,331.25627580822004,329.868541543279,332.644010073162
1977,10,332.571393508507,332.371070754129,332.77171626288504
1977,11,333.81744204883097,334.61941086639,333.015473231272
1977,12,334.639536303805,336.122351111275,333.156721496336
1978,1,335.257310827006,337.12488407426497,333.389737579747
1978,2,335.730807582065,337.879949496445,333.581665667685
1978,3,336.13148308956403,338.565571826263,333.697394352865
1978,4,336.414650032763,339.087162208118,333.742137857408
1978,5,336.33163084476,338.828460936645,333.83480075287497
1978,6,335.53274236281004,337.042439789915,334.023044935705
1978,7,333.963983502646,333.733415603133,334.19455140216
1978,8,332.589158538654,330.984362076209,334.193955001099
1978,9,332.766119007759,331.398653083707,334.133584931812
1978,10,334.048645338521,333.873158831215,334.224131845826
1978,11,335.272038553808,336.103503259937,334.44057384767797
1978,12,336.080822629943,337.597408862178,334.56423639770696
1979,1,336.706399704406,338.622135362701,334.790664046111
1979,2,337.182288231827,339.383787672449,334.980788791204
1979,3,337.592032753799,340.081172230386,335.102893277212
1979,4,337.891415509416,340.619181240932,335.1636497779
1979,5,337.827916907264,340.37521187704397,335.280621937485
1979,6,337.053231487123,338.604259397612,335.502203576634
1979,7,335.523895670103,335.327338027214,335.720453312992
1979,8,334.204448388362,332.632878133277,335.77601864344797
1979,9,334.441794949549,333.107767116706,335.775822782391
1979,10,335.791592027703,335.650998311794,335.932185743611
1979,11,337.084045957522,337.95264312109504,336.21544879395003
1979,12,337.960318669313,339.512990291374,336.407647047252
1980,1,338.65177244009,340.599403002177,336.704141878003
1980,2,339.186808541577,341.414972472048,336.95864461110597
1980,3,339.649309896105,342.158343378434,337.140276413775
1980,4,339.99393162405397,342.73226719008204,337.255596058025
1980,5,339.962605862543,342.50602814964003,337.419183575446
1980,6,339.206831258531,340.735087812971,337.678574704091
1980,7,337.692340844621,337.462770394917,337.921911294326
1980,8,336.38281827338403,334.78149299592997,337.984143550838
1980,9,336.612335914735,335.252832087248,337.971839742221
1980,10,337.937325556218,337.77680927406004,338.097841838376
1980,11,339.185251934796,340.040284875113,338.33021899447897
1980,12,339.998043011915,341.54013849259303,338.455947531237
1981,1,340.607984232556,342.541947825062,338.67402064004904
1981,2,341.04946286578996,343.26254697870496,338.836378752874
1981,3,341.40759760709,343.89891931765504,338.916275896525
1981,4,341.639894922099,344.35586528548697,338.92392455871004
1981,5,341.487638546871,343.99999056200204,338.975286531739
1981,6,340.605915623996,342.09086938241404,339.120961865577
1981,7,338.97148270250597,338.693604291795,339.249361113218
1981,8,337.551089965733,335.907511816711,339.194668114756
1981,9,337.67239490812597,336.27750170586603,339.067288110386
1981,10,338.89585954549,338.70782618991404,339.08389290106703
1981,11,340.04771678765303,340.883742119351,339.211691455954
1981,12,340.770335450549,342.29926491781896,339.241405983279
1982,1,341.29254528942903,343.21085318571,339.374237393148
1982,2,341.661941376341,343.86159052044195,339.462292232241
1982,3,341.96034143596,344.43992766353205,339.48075520838904
1982,4,342.147072865098,344.8521429278799,339.442002802317
1982,5,341.963743977928,344.464298554555,339.4631894013
1982,6,341.067578024535,342.538329006487,339.596827042583
1982,7,339.44064660209597,339.147583198789,339.733710005403
1982,8,338.051612829913,336.394929388391,339.708296271436
1982,9,338.225993244323,336.820420092657,339.631566395989
1982,10,339.526425326099,339.330568689124,339.722281963074
1982,11,340.77625332207003,341.607584466253,339.944922177887
1982,12,341.613214508187,343.139438206354,340.086990810021
1983,1,342.272983432978,344.19859205792295,340.347374808034
1983,2,342.77548047811297,344.983321857343,340.567639098882
1983,3,343.209739464721,345.69672626502603,340.722752664416
1983,4,343.531848254381,346.240736259425,340.822960249336
1983,5,343.475343673013,345.970539634108,340.98014771191896
1983,6,342.69522718807997,344.146572787863,341.24388158829703
1983,7,341.181613970756,340.853781312387,341.50944662912497
1983,8,339.900224702705,338.197382944876,341.60306646053397
1983,9,340.160542767432,338.698538372356,341.622547162508
1983,10,341.52385598741796,341.262687994086,341.78502398074903
1983,11,342.80906620297003,343.56708558270304,342.051046823238
1983,12,343.655441040638,345.09666915058096,342.214212930695
1984,1,344.218429534494,345.968842638823,342.468016430166
1984,2,344.70172349897797,346.715075143829,342.688371854127
1984,3,345.112578974179,347.393512815436,342.831645132922
1984,4,345.40555617094003,347.909647231158,342.901465110721
1984,5,345.33485798301695,347.65220656814796,343.017509397885
1984,6,344.549283571796,345.87210079649003,343.226466347102
1984,7,342.985596409055,342.56355382422197,343.40763899388804
1984,8,341.606624922134,339.80458474374,343.408665100527
1984,9,341.779086831914,340.207768989084,343.350404674745
1984,10,343.054758301382,342.667764476724,343.44175212604
1984,11,344.27178206360804,344.883422642399,343.66014148481696
1984,12,345.07511631321603,346.366331006474,343.78390161995696
1985,1,345.65318110975403,347.30512132180496,344.001240897704
1985,2,346.128544643189,348.06284185627,344.19424743010904
1985,3,346.540514544014,348.76482252441804,344.31620656361
1985,4,346.840664329847,349.315549353378,344.365779306315
1985,5,346.788851468538,349.114417792177,344.463285144899
1985,6,346.02906832107595,347.406236741938,344.651899900214
1985,7,344.474912726388,344.135103363091,344.814722089685
1985,8,343.085695101394,341.366054887889,344.8053353149
1985,9,343.248026744816,341.757279561539,344.73877392809305
1985,10,344.507623500053,344.19688017769204,344.818366822414
1985,11,345.709224174921,346.39122187054704,345.027226479295
1985,12,346.50113851836403,347.863404213069,345.138872823658
1986,1,347.145212698567,348.942309429712,345.348115967422
1986,2,347.606273719233,349.697420630207,345.51512680826005
1986,3,347.99806571511,350.38554015967696,345.610591270543
1986,4,348.276250165423,350.911703451881,345.640796878965
1986,5,348.189338176136,350.655006323987,345.723670028284
1986,6,347.388660996113,348.86990828143206,345.907413710793
1986,7,345.827946035379,345.55778258141294,346.098109489345
1986,8,344.471540667697,342.805606965815,346.13747436958
1986,9,344.66927764709396,343.219862756312,346.118692537875
1986,10,345.976469208602,345.699132915181,346.253805502023
1986,11,347.225778190405,347.93606762270696,346.51548875810204
1986,12,348.060564055562,349.434240552716,346.68688755840697
1987,1,348.695843798758,350.42919700458,346.962490592935
1987,2,349.20053348730596,351.19424847338996,347.206818501223
1987,3,349.64166303563695,351.898433604282,347.384892466992
1987,4,349.974280178201,352.446448177193,347.502112179209
1987,5,349.947477794826,352.218663289495,347.676292300157
1987,6,349.211721577922,350.468493828218,347.954949327626
1987,7,347.717332162386,347.228490862417,348.20617346235497
1987,8,346.427969669515,344.583635558658,348.272303780372
1987,9,346.69601986789297,345.10820585198996,348.283833883796
1987,10,348.075754411415,347.69967566756003,348.451833155271
1987,11,349.40006572023,350.05105172078794,348.74907971967104
1987,12,350.31070676886003,351.665430201251,348.95598333647
1988,1,351.063666967838,352.857598585489,349.269735350187
1988,2,351.632475994369,353.72977246792505,349.535179520812
1988,3,352.126040798347,354.524991992416,349.72708960427804
1988,4,352.499858625557,355.14550394205804,349.854213309057
1988,5,352.490829273493,354.952152511633,350.02950603535203
1988,6,351.75253085106795,353.203358582428,350.301703119708
1988,7,350.265255967932,349.967754248282,350.562757687582
1988,8,348.993891599572,347.345393601638,350.642389597507
1988,9,349.257798383454,347.873237329227,350.64235943768
1988,10,350.616212455707,350.45444775959396,350.77797715182
1988,11,351.890660229175,352.769323072801,351.011997385548
1988,12,352.721974215565,354.308099790366,351.135848640764
1989,1,353.382700343901,355.408510726426,351.356889961377
1989,2,353.82657296052804,356.14743948626096,351.505706434795
1989,3,354.18032190721397,356.78926592297995,351.571377891448
1989,4,354.406452444525,357.23977729179495,351.573127597255
1989,5,354.233747799825,356.84292762311003,351.62456797654
1989,6,353.325979782949,354.86959682365404,351.78236274224406
1989,7,351.705767248945,351.46424701124,351.94728748665
1989,8,350.345935138722,348.751434573198,351.940435704246
1989,9,350.53280580393204,349.203751764563,351.861859843302
1989,10,351.83802441303595,351.737635987413,351.93841283865896
1989,11,353.073731675597,354.02239362566496,352.12506972553
1989,12,353.875017258551,355.52823524865096,352.221799268451
1990,1,354.55958802779196,356.67391618561203,352.445259869972
1990,2,354.981372599383,357.37455322942003,352.588191969345
1990,3,355.31452004177595,357.96971320062204,352.659326882931
1990,4,355.52520225041803,358.36235965445,352.688044846387
1990,5,355.31755981204003,357.855382102102,352.779737521978
1990,6,354.36499394435504,355.733529954453,352.996457934256
1990,7,352.759892898607,352.301732359365,353.218053437849
1990,8,351.48048887547003,349.72095706548697,353.24002068545195
1990,9,351.741818387167,350.30588132766604,353.177755446668
1990,10,353.12930253225,352.988339481176,353.270265583324
1990,11,354.430095406764,355.40964510974896,353.45054570377897
1990,12,355.27032592794296,357.00431378375504,353.53633807213095
1991,1,355.805296383184,357.875674475542,353.73491829082604
1991,2,356.24686718438403,358.612513325763,353.881221043005
1991,3,356.60520964921403,359.258587270456,353.95183202797205
1991,4,356.84102260484,359.71750993186095,353.964535277819
1991,5,356.679681209244,359.32889818076006,354.030464237729
1991,6,355.78348819089996,357.362402731764,354.204573650036
1991,7,354.17699538339895,353.963759126015,354.390231640783
1991,8,352.831319772484,351.25756989513,354.405069649839
1991,9,353.02673717984703,351.71127049882597,354.342203860868
1991,10,354.33365828775396,354.24015556345705,354.427161012051
1991,11,355.56111198969,356.510249577738,354.611974401641
1991,12,356.34383038202003,357.989893013714,354.697767750326
1992,1,356.956981143117,359.01669450816297,354.897267778071
1992,2,357.34910006807297,359.67697447526,355.021225660886
1992,3,357.65092147356796,360.23442014756404,355.067422799572
1992,4,357.826875545015,360.59308555562995,355.06066553439905
1992,5,357.59171446864997,360.07363782008105,355.109791117219
1992,6,356.61449577879995,357.95463241894896,355.274359138651
1992,7,354.957020247661,354.476242143703,355.43779835162
1992,8,353.595018809948,351.783404227116,355.406633392781
1992,9,353.774493783311,352.254155248498,355.29483231812304
1992,10,355.074713166335,354.813469086551,355.33595724612
1992,11,356.293723496549,357.114863575205,355.47258341789296
1992,12,357.062329108781,358.609195718258,355.51546249930396
1993,1,357.69109840863405,359.694802377463,355.687394439805
1993,2,358.05769869024397,360.345406087169,355.76999129331904
1993,3,358.33017914531604,360.88109219301003,355.779266097623
1993,4,358.47826928236,361.205776964039,355.75076160068
1993,5,358.19830535885495,360.607954652771,355.788656064938
1993,6,357.169639367597,358.380027209989,355.959251525204
1993,7,355.514748543716,354.890553667997,356.13894341943495
1993,8,354.21612130164704,352.317201501349,356.11504110194505
1993,9,354.462268558992,352.916214353483,356.00832276450103
1993,10,355.846226398214,355.62769213401805,356.06476066241
1993,11,357.147043781194,358.08363675795306,356.21045080443605
